,Unnamed: 0,emotion,quotes
4038,4039,knowledge,"And so seated next to my father in the train compartment, I suddenly asked, ""Father, what is sexsin?""He turned to look at me, as he always did when answering a question, but to my surprise he said nothing. At last he stood up, lifted his traveling case off the floor and set it on the floor.Will you carry it off the train, Corrie?"" he said.I stood up and tugged at it. It was crammed with the watches and spare parts he had purchased that morning.It's too heavy,"" I said.Yes,"" he said, ""and it would be a pretty poor father who would ask his little girl to carry such a load. It's the same way, Corrie, with knowledge. Some knowledge is too heavy for children. When you are older and stronger, you can bear it. For now you must trust me to carry it for you."
3013,3014,death,"When someone you love dies, and you're not expecting it, you don't lose her all at once; you lose her in pieces over a long time—the way the mail stops coming, and her scent fades from the pillows and even from the clothes in her closet and drawers. Gradually, you accumulate the parts of her that are gone. Just when the day comes—when there's a particular missing part that overwhelms you with the feeling that she's gone, forever—there comes another day, and another specifically missing part."
2697,2698,god,"Because God is never cruel, there is a reason for all things. We must know the pain of loss; because if we never knew it, we would have no compassion for others, and we would become monsters of self-regard, creatures of unalloyed self-interest. The terrible pain of loss teaches humility to our prideful kind, has the power to soften uncaring hearts, to make a better person of a good one."
387,387,romance,It's bullshit to think of friendship and romance as being different. They're not. They're just variations of the same love. Variations of the same desire to be close.
71,71,love,"Once upon a time there was a boy who loved a girl, and her laughter was a question he wanted to spend his whole life answering."
3519,3520,science,Wonder is the seed of knowledge
3435,3436,science,"[Said during a debate when his opponent asserted that atheism and belief in evolution lead to Nazism:]Atheism by itself is, of course, not a moral position or a political one of any kind; it simply is the refusal to believe in a supernatural dimension. For you to say of Nazism that it was the implementation of the work of Charles Darwin is a filthy slander, undeserving of you and an insult to this audience. Darwin’s thought was not taught in Germany; Darwinism was so derided in Germany along with every other form of unbelief that all the great modern atheists, Darwin, Einstein and Freud were alike despised by the National Socialist regime.Now, just to take the most notorious of the 20th century totalitarianisms – the most finished example, the most perfected one, the most ruthless and refined one: that of National Socialism, the one that fortunately allowed the escape of all these great atheists, thinkers and many others, to the United States, a country of separation of church and state, that gave them welcome – if it’s an atheistic regime, then how come that in the first chapter of Mein Kampf, that Hitler says that he’s doing God’s work and executing God’s will in destroying the Jewish people? How come the fuhrer oath that every officer of the Party and the Army had to take, making Hitler into a minor god, begins, “I swear in the name of almighty God, my loyalty to the Fuhrer?” How come that on the belt buckle of every Nazi soldier it says Gott mit uns, God on our side? How come that the first treaty made by the Nationalist Socialist dictatorship, the very first is with the Vatican? It’s exchanging political control of Germany for Catholic control of German education. How come that the church has celebrated the birthday of the Fuhrer every year, on that day until democracy put an end to this filthy, quasi-religious, superstitious, barbarous, reactionary system?Again, this is not a difference of emphasis between us. To suggest that there’s something fascistic about me and about my beliefs is something I won't hear said and you shouldn't believe."
635,635,romance,"She'd secretly had a crush on him since they were twelve years old. Last summer, she'd fallen for him hard."
3581,3582,science,"When it came time for me to give my talk on the subject, I started off by drawing an outline of the cat and began to name the various muscles.The other students in the class interrupt me: ""We *know* all that!""""Oh,"" I say, ""you *do*? Then no *wonder* I can catch up with you so fast after you've had four years of biology."" They had wasted all their time memorizing stuff like that, when it could be looked up in fifteen minutes."
80,80,love,"I heard what you said. I’m not the silly romantic you think. I don’t want the heavens or the shooting stars. I don’t want gemstones or gold. I have those things already. I want…a steady hand. A kind soul. I want to fall asleep, and wake, knowing my heart is safe. I want to love, and be loved."
4019,4020,knowledge,"A woman, especially if she have the misfortune of knowing anything, should conceal it as well as she can."
2050,2051,religion,"In truth,there was only one christian and he died on the cross."
3938,3939,books,Books can be dangerous. The best ones should be labeled ‘This could change your life’.
445,445,romance,"Well, that depends, I suppose. I heard someone once say that men dance the same way they have sex. So, if you want everyone here to think you're the kind of guy who just sits around and—"" He stood up. ""Let's dance."
1165,1166,inspirational,"What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well..."
1518,1519,faith,Sometimes it takes a wrong turn to get you to the right place.
2948,2949,god,"I do know that waiting on God requires the willingness to bear uncertainty, to carry within oneself the unanswered question, lifting the heart to God about it whenever it intrudes upon one’s thoughts. Its easy to talk oneself into a decision that has no permanence – easier sometimes than to wait patiently."
1469,1470,faith,"The Lord works from the inside out. The world works from the outside in. The world would take people out of the slums. Christ would take the slums out of people, and then they would take themselves out of the slums.The world would mold men by changing their environment. Christ changes men, who then change their environment. The world would shape human behavior, but Christ can change human nature."
3629,3630,books,"So many books, so little time."
1622,1623,faith,Doubts are the ants in the pants of faith. They keep it awake and moving.
3868,3869,books,"I love books. I like that the moment you open one and sink into it you can escape from the world, into a story that's way more interesting that yours will ever be."
2821,2822,god,"I will have nothing to do with a God who cares only occasionally. I need a God who is with us always, everywhere, in the deepest depths as well as the highest heights. It is when things go wrong, when good things do not happen, when our prayers seem to have been lost, that God is most present. We do not need the sheltering wings when things go smoothly. We are closest to God in the darkness, stumbling along blindly."
1066,1067,inspirational,It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.
271,271,love,"It takes courage to love, but pain through love is the purifying fire which those who love generously know. We all know people who are so much afraid of pain that they shut themselves up like clams in a shell and, giving out nothing, receive nothing and therefore shrink until life is a mere living death."
310,310,love,"I love you as certain dark things are loved, secretly, between the shadow and the soul."
944,945,happiness,"Happiness doesn't lie in conspicuous consumption and the relentless amassing of useless crap. Happiness lies in the person sitting beside you and your ability to talk to them. Happiness is clear-headed human interaction and empathy. Happiness is home. And home is not a house-home is a mythological conceit. It is a state of mind. A place of communion and unconditional love. It is where, when you cross its threshold, you finally feel at peace."
3667,3668,books,The world is a book and those who do not travel read only one page.
3838,3839,books,"Only bad books have good endings.If a book is any good, it's ending is always bad - because you don't want the book to end."
128,128,love,Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.
2077,2078,religion,One would go mad if one took the Bible seriously; but to take it seriously one must be already mad.
32,32,love,"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable."
4083,4084,knowledge,The way of success is the way of continuous pursuit of knowledge.
1920,1921,motivational,To be heroic is to be courageous enough to die for something; to be inspirational is to be crazy enough to live a little.
3325,3326,science,"Your assumptions are your windows on the world. Scrub them off every once in a while, or the light won't come in."
2702,2703,god,Let us never forget to pray. God lives. He is near. He is real. He is not only aware of us but cares for us. He is our Father. He is accessible to all who will seek Him.
4054,4055,knowledge,I had to deny knowledge in order to make room for faith.
2609,2610,spirituality,This fire that we call Loving is too strong for human minds. But just right for human souls.
2914,2915,god,"I'm convinced that most men don't know what they believe, rather, they only know what they wish to believe. How many people blame God for man's atrocities, but wouldn't dream of imprisoning a mother for her son's crime?"
1050,1051,inspirational,"If my life is going to mean anything, I have to live it myself."
1480,1481,faith,Faith is belief in what you cannot see or prove or touch. Faith is walking face-first and full-speed into the dark.
4016,4017,knowledge,Don't fuck with an English major. They keep lots of useless crap trapped in their heads. Once in a while they let some of it out and it bites you square on the ass.
2794,2795,god,"When your will is God's will, you will have your will."
957,958,happiness,Laughter is a sunbeam of the soul.
2066,2067,religion,"Science is not only compatible with spirituality; it is a profound source of spirituality. When we recognize our place in an immensity of light‐years and in the passage of ages, when we grasp the intricacy, beauty, and subtlety of life, then that soaring feeling, that sense of elation and humility combined, is surely spiritual. So are our emotions in the presence of great art or music or literature, or acts of exemplary selfless courage such as those of Mohandas Gandhi or Martin Luther King, Jr. The notion that science and spirituality are somehow mutually exclusive does a disservice to both."
1426,1427,faith,"When you walk to the edge of all the light you have and take that first step into the darkness of the unknown, you must believe that one of two things will happen. There will be something solid for you to stand upon or you will be taught to fly."
3623,3624,science,Why do humans exist? A major part of the answer: because Pikaia Gracilens survived the Burgess decimation.
4226,4227,knowledge,"It would be the height of absurdity to label ignorance tempered by humility ""faith""!(Institutio III.2.3)"
1583,1584,faith,Belief doesn't rest on proof or existence...it rests on faith...without faith there is nothing.
4244,4245,knowledge,The dead know everything but they don't give a damn.
2483,2484,spirituality,"Negativity is totally unnatural. It is a psychic pollutant, and there is a deep link between the poisoning and destruction of nature and the vast negativity that has accumulated in the collective human psyche. No other life-form on the planet knows negativity, only humans, just as no other life-form violates and poisons the Earth that sustains it. Have you ever seen an unhappy flower or a stressed oak tree? Have you some across a depressed dolphin, a frog that has a problem with self-esteem, a cat that cannot relax, or a bird that carries hatred and resentment? The only animals that may occasionally experience something akin to negativity or show signs of neurotic behavior are those that live in close contact with humans and so link into the humans mind and its insanity."
1297,1298,inspirational,I just want you to know that you’re very special… and the only reason I’m telling you is that I don’t know if anyone else ever has.
1904,1905,motivational,"When you are living the best version of yourself, you inspire others to live the best versions of themselves."
2755,2756,god,"Let me put it this way, my father believed in a righteous God. Deus volt, that was his motto- 'because God wills it.' It was the Crusaders' motto, and they went into battle and were slaughtered just like my father. And when I saw him lying dead in a pool of his own blood, I knew then that I hadn't stopped believing in God. I'd just stopped believing God cared. There might be a God, Clary, and there might not, but I don't think it matters. Either way we're on our own."
3304,3305,science,"One, remember to look up at the stars and not down at your feet. Two, never give up work. Work gives you meaning and purpose and life is empty without it. Three, if you are lucky enough to find love, remember it is there and don't throw it away."
3447,3448,science,"We now know the basic rules governing the universe, together with the gravitational interrelationships of its gross components, as shown in the theory of relativity worked out between 1905 and 1916. We also know the basic rules governing the subatomic particles and their interrelationships, since these are very neatly described by the quantum theory worked out between 1900 and 1930. What's more, we have found that the galaxies and clusters of galaxies are the basic units of the physical universe, as discovered between 1920 and 1930....The young specialist in English Lit, having quoted me, went on to lecture me severely on the fact that in every century people have thought they understood the universe at last, and in every century they were proved to be wrong. It follows that the one thing we can say about our modern 'knowledge' is that it is wrong...My answer to him was, when people thought the Earth was flat, they were wrong. When people thought the Earth was spherical they were wrong. But if you think that thinking the Earth is spherical is just as wrong as thinking the Earth is flat, then your view is wronger than both of them put together.The basic trouble, you see, is that people think that 'right' and 'wrong' are absolute; that everything that isn't perfectly and completely right is totally and equally wrong.However, I don't think that's so. It seems to me that right and wrong are fuzzy concepts, and I will devote this essay to an explanation of why I think so.When my friend the English literature expert tells me that in every century scientists think they have worked out the universe and are always wrong, what I want to know is how wrong are they? Are they always wrong to the same degree?"
2626,2627,spirituality,"To better understand God we must first shatter our own idea of God - maybe even day after day. Maybe he's too great to stay compressed in the human mind. Maybe he splits it wide open; this is why pretentious intellectualism so often fails to comprehend the concept of God: it is only accepting of what it can explain while in the process finding higher sources offensive. What we may confidently assert is that faith is the opening that allows God, this unpredictable, unseen power, to travel in and out of the mind without all the pains of confusion."
234,234,love,"If conversation was the lyrics, laughter was the music, making time spent together a melody that could be replayed over and over without getting stale."
2833,2834,god,"I believe if there's any kind of God it wouldn't be in any of us, not you or me but just this little space in between. If there's any kind of magic in this world it must be in the attempt of understanding someone sharing something. I know, it's almost impossible to succeed but who cares really? The answer must be in the attempt."
2174,2175,religion,"Religion isn't the cause of wars, it's the excuse."
1432,1433,faith,Having faith in God did not mean sitting back and doing nothing. It meant believing you would find success if you did your best honestly and energetically.
1958,1959,motivational,"For your past, for your flaws, and ultimately for your stress; I judge no one whom I’ve met along the way because in a sense we were all wounded in our own ways."
616,616,romance,I want to try with someone who loves me enough to try with me. I want to grow old looking at the same face every morning. I want to grow old looking at the same face every night at the dinner table. I want to be one of those old couples you see still holding hands and laughing after fifty years of marriage. That's what I want. I want to be someone's forever.
4131,4132,knowledge,"Knowledge is a tool, and like all tools, its impact is in the hands of the user."
3944,3945,books,The problem with books is that they end.
1947,1948,motivational,Live out of your imagination instead of out of your memory.
2523,2524,spirituality,"Once you have surrendered yourself, you make yourself receptive. In receiving from God, you are perfected and completed."
2623,2624,spirituality,Love one another. Love yourself. Then love will find you whole not half.
2514,2515,spirituality,"Never forget that you are not in the world; the world is in you. When anything happens to you, take the experience inward. Creation is set up to bring you constant hints and clues about your role as co-creator. Your soul is metabolizing experience as surely as your body is metabolizing food"
3875,3876,books,A book is a gift you can open again and again.
1114,1115,inspirational,"Dare to BeWhen a new day begins, dare to smile gratefully.When there is darkness, dare to be the first to shine a light.When there is injustice, dare to be the first to condemn it.When something seems difficult, dare to do it anyway.When life seems to beat you down, dare to fight back.When there seems to be no hope, dare to find some.When you’re feeling tired, dare to keep going.When times are tough, dare to be tougher.When love hurts you, dare to love again.When someone is hurting, dare to help them heal.When another is lost, dare to help them find the way.When a friend falls, dare to be the first to extend a hand.When you cross paths with another, dare to make them smile.When you feel great, dare to help someone else feel great too.When the day has ended, dare to feel as you’ve done your best.Dare to be the best you can –At all times, Dare to be!"
3554,3555,science,Never apologize for burning too brightly or collapsing into yourself every night. That is how galaxies are made.
2797,2798,god,"I have found God, but he is insufficient."
2865,2866,god,"And people who believe in God think God has put human beings on earth because they think human beings are the best animal, but human beings are just an animal and they will evolve into another animal, and that animal will be cleverer and it will put human beings into a zoo, like we put chimpanzees and gorillas into a zoo. Or human beings will all catch a disease and die out or they will make too much pollution and kill themselves, and then there will only be insects in the world and they will be the best animal."
2000,2001,religion,"My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right."
2864,2865,god,Yahweh: You've been unhappy because you've desired things that cannot be.Lucifer: That's what desire IS. The need for what we can't have. The need for what's readily available is called greed.
4155,4156,knowledge,Poetry and art and knowledge are sacred and pure.
1038,1039,inspirational,"Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present."
1987,1988,religion,Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.
2893,2894,god,"The man who fears to be alone will never be anything but lonely, no matter how much he may surround himself with people. But the man who learns, in solitude and recollection, to be at peace with his own loneliness, and to prefer its reality to the illusion of merely natural companionship, comes to know the invisible companionship of God. Such a one is alone with God in all places, and he alone truly enjoys the companionship of other men, because he loves them in God in Whom their presence is not tiresome, and because of Whom his own love for them can never know satiety."
1263,1264,inspirational,"I’ve been fighting to be who I am all my life. What’s the point of being who I am, if I can’t have the person who was worth all the fighting for?"
3504,3505,science,"To protest about bullfighting in Spain, the eating of dogs in South Korea, or the slaughter of baby seals in Canada while continuing to eat eggs from hens who have spent their lives crammed into cages, or veal from calves who have been deprived of their mothers, their proper diet, and the freedom to lie down with their legs extended, is like denouncing apartheid in South Africa while asking your neighbors not to sell their houses to blacks."
2279,2280,religion,Every day people are straying away from the church and going back to God.
608,608,romance,There are some experiences in life they haven't invented the right words for.
1939,1940,motivational,"If you can’t believe in miracles, then believe in yourself. When you want something bad enough, let that drive push you to make it happen. Sometimes you’ll run into brick walls that are put there to test you. Find a way around them and stay focused on your dream. Where there’s a will, there’s a way."
131,131,love,How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.
4029,4030,knowledge,"Opinion is really the lowest form of human knowledge. It requires no accountability, no understanding. The highest form of knowledge… is empathy, for it requires us to suspend our egos and live in another’s world. It requires profound purpose larger than the self kind of understanding."
2052,2053,religion,I want God to play in my bloodstream the way sunlight amuses itself on the water.
49,49,love,We love the things we love for what they are.
2659,2660,god,"Owners of dogs will have noticed that, if you provide them with food and water and shelter and affection, they will think you are god. Whereas owners of cats are compelled to realize that, if you provide them with food and water and shelter and affection, they draw the conclusion that they are gods."
2083,2084,religion,"You made me confess the fears that I have. But I will tell you also what I do not fear. I do not fear to be alone or to be spurned for another or to leave whatever I have to leave. And I am not afraid to make a mistake, even a great mistake, a lifelong mistake and perhaps as long as eternity too."
3942,3943,books,"It's a reflex. Hear a bell, get food. See an undead, throw a knife. Same thing, really."
527,527,romance,"There are many different types of kisses. There’s a passionate kiss of farewell—like the kind Rhett gave Scarlett when he went off to war. The kiss of I-can’t-really-be-with-you-but-I-want-to-be—like with Superman and Lois Lane. There’s the first kiss—one that is gentle and hesitant, warm and vulnerable. And then there’s the kiss of possession—which was how Ren kissed me now. It went beyond passion, beyond desire. His kiss was full of longing, need, and love, like all those other kisses. But, it was also filled with promises and pledges, some of which seemed sweet and tender while others seemed dangerous and exciting. He was taking me over. Staking a claim. He seized me as boldly as the tiger captured his prey. There was no escape. And I didn’t want to. I would have happily died in his clutches. I was his. And he made sure I knew it. My heart burst with a thousand beautiful blooms, all tiger lilies. And I knew with a certainty more powerful than anything I’d ever felt before that we belonged together. "
3795,3796,books,"Go, my book, and help destroy the world as it is."
2862,2863,god,He who has God and everything else has no more than he who has God only.
2286,2287,religion,"It is taboo in our society to criticize a persons religious faith... these taboos are offensive, deeply unreasonable, but worse than that, they are getting people killed. This is really my concern. My concern is that our religions, the diversity of our religious doctrines, is going to get us killed. I'm worried that our religious discourse- our religious beliefs are ultimately incompatible with civilization."
3187,3188,death,"If they tell you that she died of sleeping pills you must know that she died of a wasting grief, of a slow bleeding at the soul."
4041,4042,knowledge,"Life is like a game of chess.To win you have to make a move.Knowing which move to make comes with IN-SIGHTand knowledge, and by learning the lessons that areacculated along the way.We become each and every piece within the game called life!"
1980,1981,religion,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else."
2577,2578,spirituality,"And if you would know God, be not therefore a solver of riddles.Rather look about you and you shall see Him playing with your children.And look into space; you shall see Him walking in the cloud, outstretching His arms in the lightning and descending in rain.You shall see Him smiling in flowers, then rising and waving His hands in trees."
2975,2976,death,"Death ends a life, not a relationship."
3523,3524,science,"It turned out I was pretty good in science. But again, because of the small budget, in science class we couldn't afford to do experiments in order to prove theories. We just believed everything. Actually, I think that class was called Religion. Religion class was always an easy class. All you had to do was suspend the logic and reasoning you were being taught in all the other classes."
932,933,happiness,"There are random moments - tossing a salad, coming up the driveway to the house, ironing the seams flat on a quilt square, standing at the kitchen window and looking out at the delphiniums, hearing a burst of laughter from one of my children's rooms - when I feel a wavelike rush of joy. This is my true religion: arbitrary moments of of nearly painful happiness for a life I feel privileged to lead."
460,460,romance,"When you loved someone and had to let them go, there will always be that small part of yourself that whispers, ""What was it that you wanted and why didn't you fight for it?"
3759,3760,books,"If books could have more, give more, be more, show more, they would still need readers who bring to them sound and smell and light and all the rest that can’t be in books.	The book needs you."
3652,3653,books,Books are a uniquely portable magic.
2768,2769,god,"Part of me suspects that I'm a loser, and the other part of me thinks I'm God Almighty."
804,805,happiness,"I had rather hear my dog bark at a crow, than a man swear he loves me."
2742,2743,god,"I tried to believe that there is a God, who created each of us in His own image and likeness, loves us very much, and keeps a close eye on things. I really tried to believe that, but I gotta tell you, the longer you live, the more you look around, the more you realize, something is fucked up."
959,960,happiness,"right in this moment, I can´t even remember what unhappy feels like."
1573,1574,faith,"If you're serious about sanctification, you can expect to experience heart-wrenching moments that try your faith, your endurance, and your patience."
3344,3345,science,"If you try and take a cat apart to see how it works, the first thing you have on your hands is a non-working cat."
1852,1853,motivational,"Every challenge you face today makes you stronger tomorrow. The challenge of life is intended to make you better, not bitter."
2120,2121,religion,"About once or twice every month I engage in public debates with those whose pressing need it is to woo and to win the approval of supernatural beings. Very often, when I give my view that there is no supernatural dimension, and certainly not one that is only or especially available to the faithful, and that the natural world is wonderful enough—and even miraculous enough if you insist—I attract pitying looks and anxious questions. How, in that case, I am asked, do I find meaning and purpose in life? How does a mere and gross materialist, with no expectation of a life to come, decide what, if anything, is worth caring about?Depending on my mood, I sometimes but not always refrain from pointing out what a breathtakingly insulting and patronizing question this is. (It is on a par with the equally subtle inquiry: Since you don't believe in our god, what stops you from stealing and lying and raping and killing to your heart's content?) Just as the answer to the latter question is: self-respect and the desire for the respect of others—while in the meantime it is precisely those who think they have divine permission who are truly capable of any atrocity—so the answer to the first question falls into two parts. A life that partakes even a little of friendship, love, irony, humor, parenthood, literature, and music, and the chance to take part in battles for the liberation of others cannot be called 'meaningless' except if the person living it is also an existentialist and elects to call it so. It could be that all existence is a pointless joke, but it is not in fact possible to live one's everyday life as if this were so. Whereas if one sought to define meaninglessness and futility, the idea that a human life should be expended in the guilty, fearful, self-obsessed propitiation of supernatural nonentities… but there, there. Enough."
666,667,happiness,"The Seven Social Sins are: Wealth without work. Pleasure without conscience. Knowledge without character. Commerce without morality. Science without humanity. Worship without sacrifice. Politics without principle.From a sermon given by Frederick Lewis Donaldson in Westminster Abbey, London, on March 20, 1925."
486,486,romance,"I require three things in a man: he must be handsome, ruthless, and stupid."
1359,1360,faith,Doubt everything. Find your own light.
2647,2648,god,God has no religion.
1659,1660,motivational,"Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more."
2815,2816,god,"Happiness is the object and design of our existence; and will be the end thereof, if we pursue the path that leads to it; and this path is virtue, uprightness, faithfulness, holiness, and keeping all the commandments of God."
1005,1006,inspirational,It is never too late to be what you might have been.
1741,1742,motivational,Be the positive impact on the lives of others.
3122,3123,death,"I went down to the river,I set down on the bank.I tried to think but couldn't,So I jumped in and sank."
3767,3768,books,Literature is a luxury; fiction is a necessity.
1014,1015,inspirational,"Success is not final, failure is not fatal: it is the courage to continue that counts."
1929,1930,motivational,"If you're waiting until you feel talented enough to make it, you'll never make it."
509,509,romance,"And yes, I’ll admit, I am jealous. I’m jealous of every minute you spend with him, of every concerned expression you send his way, of every tear shed, of every glance, every touch, and every thought. I want to rip him to pieces and purge him from your mind and from your heart. But I can’t."
4115,4116,knowledge,"Habit is the intersection of knowledge (what to do), skill (how to do), and desire (want to do)."
3747,3748,books,"When I was about eight, I decided that the most wonderful thing, next to a human being, was a book."
2384,2385,spirituality,"Why I Wake Early Hello, sun in my face.Hello, you who made the morningand spread it over the fieldsand into the faces of the tulipsand the nodding morning glories,and into the windows of, even, themiserable and the crotchety –  best preacher that ever was,dear star, that just happensto be where you are in the universeto keep us from ever-darkness,to ease us with warm touching,to hold us in the great hands of light –good morning, good morning, good morning. Watch, now, how I start the dayin happiness, in kindness."
3777,3778,books,"Even in literature and art, no man who bothers about originality will ever be original: whereas if you simply try to tell the truth (without caring twopence how often it has been told before) you will, nine times out of ten, become original without ever having noticed it."
3906,3907,books,"Only the ship is made of books, its sails thousands of overlapping pages, and the sea it floats upon is dark black ink."
149,149,love,أجمل حب هو الذي نعثر عليه أثناء بحثنا عن شيء آخر
2882,2883,god,"I seemed to hear God saying, ""Put down your gun and we'll talk."
2645,2646,god,To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.
3165,3166,death,"There are three deaths. The first is when the body ceases to function. The second is when the body is consigned to the grave. The third is that moment, sometime in the future, when your name is spoken for the last time."
1517,1518,faith,Faith is why I'm here today and faith is why I made it through.
7,7,love,"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life."
